City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Kemijarvi,FI,66.7131,27.4306,49.93,76,100,3.33,overcast clouds
296,Macusani,PE,-14.0833,-70.4333,37.31,80,95,1.66,overcast clouds
297,Grand Gaube,MU,-20.0064,57.6608,64.8,75,7,5.01,clear sky
298,Mildura,AU,-34.2,142.15,60.08,78,100,8.86,overcast clouds
299,Chapais,CA,49.7834,-74.8492,62.22,98,100,7.49,overcast clouds
300,Rorvik,NO,64.8621,11.2373,56.57,93,100,7.18,overcast clouds
301,Manokwari,ID,-0.8667,134.0833,82.49,73,100,6.22,overcast clouds
302,Taybad,IR,34.74,60.7756,82.27,31,0,17.36,clear sky
303,Ilulissat,GL,69.2167,-51.1,37.67,95,97,2.19,overcast clouds
304,Constitucion,CL,-35.3333,-72.4167,53.35,94,100,8.61,overcast clouds
305,Wladyslawowo,PL,54.7909,18.4009,60.01,67,35,6.2,scattered clouds
306,Kushima,JP,31.4583,131.2333,87.6,68,31,3.44,scattered clouds
307,Chardara,KZ,41.2547,67.9692,79.27,34,0,10.27,clear sky
308,Matagami,CA,49.7502,-77.6328,61.66,95,13,5.88,few clouds
309,Santo Domingo,DO,18.5001,-69.9886,78.04,90,45,1.99,scattered clouds
310,Raymondville,US,26.4815,-97.7831,91.51,52,0,17.07,clear sky
311,Nakamura,JP,32.9833,132.9333,85.75,66,81,3.74,broken clouds
312,Salalah,OM,17.0151,54.0924,76.01,96,100,7.87,light rain
313,Cuajinicuilapa,MX,16.4667,-98.4167,78.01,89,100,4.79,overcast clouds
314,Bara,NG,10.3744,10.7288,74.89,85,100,5.86,overcast clouds
315,Luganville,VU,-15.5333,167.1667,83.08,72,26,5.57,scattered clouds
316,Salina Cruz,MX,16.1667,-95.2,83.57,70,100,11.95,overcast clouds
317,Burns Lake,CA,54.2331,-125.7533,60.24,79,100,4.0,overcast clouds
318,Coihaique,CL,-45.5752,-72.0662,25.2,97,93,2.51,overcast clouds
319,Wlodawa,PL,51.55,23.55,57.94,85,99,4.74,overcast clouds
320,Sao Filipe,CV,14.8961,-24.4956,78.31,83,100,9.15,light rain
321,Kabalo,CD,-6.05,26.9167,76.73,44,53,3.13,broken clouds
322,Myanaung,MM,18.2833,95.3167,79.47,83,94,1.32,overcast clouds
323,Codrington,AU,-38.2667,141.9667,54.19,91,100,17.47,light rain
324,Matadi,CD,-5.8167,13.45,70.43,88,94,4.63,overcast clouds
325,Kieta,PG,-6.2167,155.6333,85.64,66,11,6.93,light rain
326,Osmena,PH,10.5208,119.9258,82.27,77,86,4.21,overcast clouds
327,Futtsu,JP,35.3053,139.8186,90.21,81,100,12.08,overcast clouds
328,Sakakah,SA,29.9697,40.2064,85.44,17,0,5.55,clear sky
329,Areado,BR,-21.3586,-46.1456,61.3,54,0,1.57,clear sky
330,Tilichiki,RU,60.4667,166.1,58.98,55,29,5.35,scattered clouds
331,Pocatello,US,42.8713,-112.4455,92.17,12,0,15.99,clear sky
332,Meridian,US,43.6121,-116.3915,93.34,19,0,10.36,clear sky
333,Umm Lajj,SA,25.0213,37.2685,82.56,77,99,9.33,overcast clouds
334,Kattivakkam,IN,13.2167,80.3167,83.07,87,62,7.05,broken clouds
335,Maumere,ID,-8.6199,122.2111,78.39,64,65,7.31,broken clouds
336,Rottenmann,AT,47.5167,14.35,58.28,95,0,4.9,clear sky
337,Harlingen,US,26.1906,-97.6961,91.49,44,0,17.27,clear sky
338,Opuwo,NA,-18.0607,13.84,60.48,37,0,3.94,clear sky
339,Doka,SD,13.5167,35.7667,68.77,90,100,7.74,overcast clouds
340,Villamontes,BO,-21.25,-63.5,73.26,61,0,0.51,clear sky
341,Lagoa,PT,39.05,-27.9833,73.02,90,0,10.07,clear sky
342,Bengkulu,ID,-3.8004,102.2655,77.05,90,100,7.54,light rain
343,Del Rio,US,29.3627,-100.8968,100.42,22,0,16.87,clear sky
344,Seoul,KR,37.5683,126.9778,83.59,64,4,0.63,clear sky
345,Fasa,IR,28.9383,53.6482,81.07,36,16,3.2,few clouds
346,Saint-Pierre,RE,-21.3393,55.4781,65.28,74,6,8.95,clear sky
